idmeditable,nameMedi,useMedi,introMedi,warnMedi,takeMedi,sideEffectMedi,ifMissMedi
11,Acetaminophen,"pain reliever and a fever reducer","Acetaminophen is used to treat mild to moderate and pain, to treat moderate to severe pain in conjunction with opiates, or to reduce fever. Common conditions treated include headache, muscle aches, arthritis, backache, toothaches, sore throat, colds, flu, and fevers.","Adults and teenagers who weigh at least 110 pounds should not take more than 1000 milligrams (mg) at one time. Children younger than 12 years old should not take more than 5 doses in 24 hours.","Make sure your hands are dry when handling the acetaminophen disintegrating tablet. Place the tablet on your tongue. It will begin to dissolve right away. Do not swallow the tablet whole. Allow it to dissolve in your mouth without chewing.","stomach pain (upper right side), loss of appetite ,tiredness, itching, dark urine, clay-colored stools; or jaundice (yellowing of the skin or eyes).","Since acetaminophen is taken as needed, you may not be on a dosing schedule. If you are taking the medication regularly, take the missed dose as soon as you remember."
12,"Acetaminophen and Hydrocodone","used to relieve moderate to moderately severe pain.","Hydrocodone/paracetamol, also known as hydrocodone/acetaminophen, is the combination of the pain medications hydrocodone and paracetamol. It is used to treat moderate to severe pain. It is taken by mouth. Recreational use is common in the United States","Taking opioid medicine during pregnancy may cause life-threatening withdrawal symptoms in the newborn. Fatal side effects can occur if you use opioid medicine with alcohol, or with other drugs that cause drowsiness or slow your breathing.","Measure liquid medicine carefully. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon). If you need surgery or medical tests, tell the doctor ahead of time that you are using this medicine. You should not stop using this medicine suddenly.","signs of an allergic reaction to acetaminophen or hydrocodone: hives; difficulty breathing; swelling of your face, lips, tongue, or throat, blue colored lips, or if you are hard to wake up, slow or stop your breathing. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. ","Since this medicine is used for pain, you are not likely to miss a dose. Skip any missed dose if it is almost time for your next dose. Do not use two doses at one time."
13,Acetylcysteine,"used to help prevent or lessen liver damage caused by taking large quantities of acetaminophen","Acetylcysteine is used to help prevent or lessen liver damage caused by taking large quantities of acetaminophen (Tylenol). There are other brands and forms of acetylcysteine available, and some can be purchased over the counter. Not all forms of acetylcysteine are effective as an acetaminophen antidote. Do not attempt to treat an acetaminophen overdose without medical advice.","In an emergency, you may not be able to tell caregivers about your health conditions. Make sure any doctor caring for you afterward knows you received this medicine.","If you are in an emergency medical setting: Before you take acetylcysteine, your caregivers will perform a blood test to measure the level of acetaminophen in your body. If you vomit within 1 hour after taking acetylcysteine, you may need to take another dose.","severe or ongoing vomiting, coughing up blood or vomit that looks like coffee grounds or signs that the medicine may not be working-upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes).","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
14,Actos,"used along with a proper diet and exercise program to control high blood sugar in patients with type 2 diabetes.","Actos (pioglitazone) is an oral diabetes medicine that helps control blood sugar levels. Actos is used together with diet and exercise to improve blood sugar control in adults with type 2 diabetes mellitus. Actos is not for treating type 1 diabetes.","You should not use Actos if you have severe or uncontrolled heart failure, active bladder cancer, or diabetic ketoacidosis (call your doctor for treatment with insulin). This medicine is not for treating type 1 diabetes.","Actos is usually taken once daily, with or without food.Your doctor may prescribe a glucagon injection kit in case you have severe hypoglycemia. Be sure your family or close friends know how to give you this injection in an emergency.","symptoms of liver damage: nausea, upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of the skin or eyes), changes in your vision or sudden unusual pain in your hand, arm, or foot.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.Seek emergency medical attention or call the Poison Help line at 1-800-222-1222. "
15,Acyclovir,"used to treat infections caused by herpes viruses, such as genital herpes, cold sores, shingles, and chickenpox.","Acyclovir is an antiviral drug. It slows the growth and spread of the herpes virus in the body. It will not cure herpes, but it can lessen the symptoms of the infection. Acyclovir is used to treat infections caused by herpes viruses, such as genital herpes, cold sores, shingles, and chickenpox. Sitavig will not treat genital herpes.","Take acyclovir for the entire length of time prescribed by your doctor. Your symptoms may get better before the infection is completely treated. Treatment with acyclovir should be started as soon as possible after the first appearance of symptoms (such as tingling, burning, blisters).","Start taking acyclovir as soon as possible after the first appearance of symptoms (such as tingling, burning, blisters). Start taking Sitavig within 1 hour after you first notice sold core symptoms, before the cold sore appears. Do not crush, chew, suck on, or swallow a buccal tablet. ","easy bruising or bleeding, purple or red pinpoint spots under your skin, changes in behavior, confusion, hallucinations; or signs of a kidney problem","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
16,Adderall,"used to treat attention deficit hyperactivity disorder (ADHD) and narcolepsy","Adderall contains a combination of amphetamine and dextroamphetamine. Amphetamine and dextroamphetamine are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control.","Do not use this medicine if you have used a MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, or tranylcypromine or have received a methylene blue injection.","You may take Adderall with or without food, first thing in the morning. Do not crush, chew, break, or open an extended-release capsule. Swallow it whole. To make swallowing easier, you may open the capsule and sprinkle the medicine into a spoonful of applesauce. Swallow right away without chewing. Do not save the mixture for later use.","chest pain, trouble breathing, feeling like you might pass out,  hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia, numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes","Take the missed dose as soon as you remember, but not late in the day. Skip the missed dose if it is almost evening. Do not take extra medicine to make up the missed dose. But An overdose of Adderall could be fatal.."
17,"Adderall XR","used to treat attention deficit hyperactivity disorder - ADHD.","Adderall XR are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control. Adderall XR is a combination medicine used to treat attention deficit hyperactivity disorder (ADHD). Adderall XR may also be used for purposes not listed in this medication guide.","Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine.","Keep the medication in a place where others cannot get to it. Selling or giving away Adderall XR is against the law. If you cannot swallow a capsule whole, open it and sprinkle the medicine into a spoonful of applesauce. Swallow the mixture right away without chewing. Do not save it for later use.","signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat. a seizure (convulsions), muscle twitches (tics) or changes in your vision, agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea.","Take the missed dose as soon as you remember, but not late in the day. Skip the missed dose if it is almost evening. Do not take extra medicine to make up the missed dose. An overdose of Adderall XR could be fatal."
18,"Advair Diskus","used to prevent asthma attacks.","Advair Diskus is also used to prevent flare-ups or worsening of chronic obstructive pulmonary disease (COPD) associated with chronic bronchitis and/or emphysema. In people with COPD, Advair Diskus is for long-term treatment. In people with asthma, Advair Diskus is for short-term treatment until symptoms are well controlled with with other medicines.","Advair Diskus is not a rescue medicine. It will not work fast enough to treat an asthma or bronchospasm attack. Seek medical attention you have worsening breathing problems, or if you think your medications are not working as well. ","Use the medicine at the same time each day. Use only the inhaler device provided with your medication. Shake the Advair HFA inhaler for at least 5 seconds before each spray. Do not allow a young child to use this medicine without help from an adult.","wheezing, choking, or other breathing problems after using Advair Diskus, fever, chills, cough with mucus, feeling short of breath, chest pain, fast or irregular heartbeats, severe headache, pounding in your neck or ears, tremors, nervousness, blurred vision, tunnel vision, eye pain, or seeing halos around lights","Skip the missed dose and use your next dose at the regular time. Do not use two doses at one time. Overdose symptoms may include chest pain, fast heart rate, and feeling shaky or short of breath."
19,Advil,"used to relieve pain from various conditions such as headache, dental pain, menstrual cramps, muscle aches, or arthritis.","Advil (ibuprofen) is a nonsteroidal anti-inflammatory drug (NSAID). Ibuprofen works by reducing hormones that cause inflammation and pain in the body. Advil is used to reduce fever and treat pain or inflammation caused by many conditions such as headache, toothache, back pain, arthritis, menstrual cramps, or minor injury. Advil is used in adults and children who are at least 2 years old.","Do not take more than your recommended dose. An ibuprofen overdose can damage your stomach or intestines. Use only the smallest amount of medication needed to get relief from your pain, swelling, or fever.","An ibuprofen overdose can damage your stomach or intestines. The maximum amount of ibuprofen for adults is 800 milligrams per dose or 3200 mg per day. Take Advil with food or milk to lessen stomach upset. Shake the oral suspension (liquid) before you measure a dose. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon).","signs of an allergic reaction to Advil (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). changes in your vision, shortness of breath (even with mild exertion), swelling or rapid weight gain","Since Advil is used when needed, you may not be on a dosing schedule. Skip any missed dose if it's almost time for your next dose. Do not use two doses at one time. Overdose symptoms may include nausea, vomiting, stomach pain, drowsiness, black or bloody stools."
20,Afinitor,"used to treat certain types of kidney cancer, breast cancer, or brain tumor","Afinitor (everolimus) is a cancer medicine that interferes with the growth of cancer cells and slows their spread in the body. Afinitor is used to treat certain types of seizures or non-cancerous (benign) tumors of the brain or kidney in people with a genetic condition called tuberous sclerosis complex.","Before taking this medicine, tell your doctor if you have a breathing disorder such as asthma or COPD, liver disease (or a history of hepatitis B), an active infection, diabetes or high blood sugar, or high cholesterol.","Take Afinitor at the same time each day. You may take the medicine with or without food, but take it the same way each time. Do not take a regular tablet together with a dispersible tablet. Use only one form of this medicine.","signs of an allergic reaction to Afinitor: hives; chest pain, difficult breathing; swelling of your face, lips, tongue, or throat. You may be more likely to have some of these symptoms if you also take an "ACE inhibitor" heart or blood pressure medication, blisters or ulcers in your mouth, red or swollen gums, trouble swallowing.","Use the medicine as soon as you can, but skip the missed dose if you are more than 6 hours late for the dose. Do not use two doses at one time."
21,Aimovig,"used for the preventive treatment of migraine in adults.","Aimovig (erenumab) is a monoclonal antibody that blocks the activation of a certain protein that can produce a migraine attack. This protein, called calcitonin gene- related peptide (CGRP), can cause blood vessels to dilate and cause inflammation and migraine headache pain. Aimovig is a prescription medicine used for the preventive treatment of migraine in adults.","Before you inject Aimovig, always check the label of your single-dose prefilled autoinjector or single-dose prefilled syringe to make sure you have the correct medicine and the correct dose.","Aimovig is injected under your skin (subcutaneously) one time each month. A healthcare provider may teach you how to properly use the medication by yourself. If your healthcare provider prescribes the 70 mg dose for you, take one injection. If your healthcare provider prescribes the 140 mg dose for you, take two separate injections one after another.","signs of an allergic reaction to Aimovig: hives; difficult breathing; swelling of your face, lips, tongue, or throat, constipation or pain, swelling, or redness where the medicine was injected.","If you forget to take your dose or are not able to take the dose at the regular time, take your missed dose as soon as you remember. After that, you can continue to take Aimovig one time each month from the date of your last dose."
22,Ajovy,"used to prevent migraine headaches in adults.","Ajovy (fremanezumab-vfrm) is an injectable prescription medicine used to prevent migraine headaches in adults. Ajovy works by blocking the activity of calcitonin gene-related peptide (CGRP). It comes as a prefilled syringe. You can self-inject Ajovy, or receive Ajovy injections from a healthcare provider in your doctor's office.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","Ajovy is injected under the skin. A healthcare provider may teach you how to properly use the medication by yourself. Ajovy is usually given as 1 injection once a month, or as 3 injections (in separate syringes) once every 3 months.","signs of an allergic reaction to Ajovy: hives; difficult breathing; swelling of your face, lips, tongue, or throat and pain, redness, or a hard lump where the medicine was injected.","Use the medicine as soon as you remember, and then restart your regular injection schedule 1 month or 3 months later."
23,"Albuterol inhalation","used to treat or prevent bronchospasm, or narrowing of the airways in the lungs","Albuterol is a bronchodilator that relaxes muscles in the airways and increases air flow to the lungs. Albuterol inhalation is used to treat or prevent bronchospasm, or narrowing of the airways in the lungs, in people with asthma or certain types of chronic obstructive pulmonary disease (COPD). It is also used to prevent exercise-induced bronchospasm. Albuterol inhalation is for use in adults and children who are at least 4 years old.","It is important to keep albuterol on hand at all times. Get your prescription refilled before you run out of medicine completely. Talk with your doctor if any of your asthma medications do not seem to work as well in treating or preventing attacks. If it seems like you need to use more of any of your medications in a 24-hour period, talk with your doctor.","Keeping your inhaler clean is important to ensure you are receiving the medication. Clean the plastic actuator with the canister removed at least once a week. Your medicine comes with directions for properly cleaning your device. You may also need to shake your albuterol device just before each use.","wheezing, choking, or other breathing problems after using this medicine,chest pain, fast heart rate, pounding heartbeats or fluttering in your chest, pain or burning when you urinate increased thirst, increased urination, hunger, dry mouth, fruity breath odor, drowsiness, dry skin, blurred vision, weight loss","Use the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not use extra medicine to make up the missed dose. An overdose of albuterol can be fatal."
24,Aldactone,"used to treat heart failure, high blood pressure (hypertension), or hypokalemia (low potassium levels in the blood).","Aldactone (spironolactone) is a potassium-sparing diuretic (water pill) that prevents your body from absorbing too much salt and keeps your potassium levels from getting too low. Aldactone treats fluid retention (edema) in people with congestive heart failure, cirrhosis of the liver, or a kidney disorder called nephrotic syndrome or treats a condition in which you have too much aldosterone in your body.","You should use Aldactone with caution if you have kidney problems, high levels of potassium in your blood, Addison's disease, if you are unable to urinate, or if you are also taking eplerenone. Aldactone has caused tumors in animals but it is not known whether this could occur in people.","Do not share this medicine with another person, even if they have the same symptoms you have. You may take Aldactone with or without food, but take it the same way each time. You will need frequent medical tests. Store at room temperature away from heat, light, and moisture.","a light-headed feeling, like you might pass out, little or no urination, nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement or signs of other electrolyte imbalances - increased thirst or urination, confusion, vomiting, muscle pain, slurred speech, severe weakness, numbness, loss of coordination, feeling unsteady.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
25,Alecensa,"used to treat a certain type of non-small cell lung cancer that has spread to other parts of the body"," Alecensa (alectinib) is a cancer medicine that interferes with the growth and spread of cancer cells in the body. Alecensa is used to treat a certain type of non-small cell lung cancer that has spread to other parts of the body. Alecensa is used only if your cancer has a specific genetic marker (an abnormal "ALK" gene). Your doctor will test you for this gene.","Call your doctor right away if you have: heart problems--severe dizziness, very slow heartbeats; lung problems--fever, chest pain, cough, trouble breathing; kidney problems--a change in your urine color, little or no urination, swelling in your lower legs; or liver problems--upper stomach pain, dark urine, loss of appetite, yellowing of the skin or eyes.","Alecensa works best if you take it with food. Swallow the capsule whole and do not crush, chew, dissolve, or open it. If you vomit shortly after taking Alecensa, do not take another dose. Wait until your next scheduled dose time to take the medicine again.","a very slow heart rate, a light-headed feeling, like you might pass out, unexplained muscle pain, tenderness, or weakness lung problems - sudden chest pain or discomfort, wheezing, dry cough or cough with mucus, feeling short of breath","600 mg orally twice a day. Skip the missed dose and use your next dose at the regular time. Do not use two doses at one time."
26,Alendronate,"used to prevent and treat osteoporosis (thinning of the bone) in women after menopause.","Alendronate is used to treat osteoporosis caused by menopause, steroid use, or gonadal failure. alendronate is for use when you have a high risk of bone fracture due to osteoporosis. Alendronate is also used to treat Paget's disease of bone. Alendronate may also be used for purposes not listed in this medication guide.","You should not take alendronate if you have problems with your esophagus, or low levels of calcium in your blood. Do not take alendronate if you cannot sit upright or stand for at least 30 minutes after taking the medicine.","Alendronate is taken either once daily or once per week. Follow your doctor's dosing instructions very carefully. Take alendronate first thing in the morning, at least 30 minutes before you eat or drink anything or take any other medicine. Take with a full glass (6 to 8 ounces) of plain water.","chest pain, new or worsening heartburn, difficulty or pain when swallowing, pain or burning under the ribs or in the back, severe heartburn, burning pain in your upper stomach, or coughing up blood, new or unusual pain in your thigh or hip, jaw pain, numbness, or swelling","If you forget to take alendronate first thing in the morning, do not take it later in the day. Wait until the following morning and skip the missed dose. Do not take two (2) doses in one day."
27,Aleve,"used to temporarily relieve minor aches and pains due to arthritis","Aleve (naproxen) is a nonsteroidal anti-inflammatory drug (NSAID). Naproxen works by reducing hormones that cause inflammation and pain in the body. Aleve is used to temporarily relieve minor aches and pains due to arthritis, muscular aches, backache, menstrual cramps, headache, toothache,and the common cold. Aleve is also used to temporarily reduce fever.","You should not use Aleve if you have a history of allergic reaction to aspirin or other NSAID (nonsteroidal anti-inflammatory drug). Do not use this medicine just before or after heart bypass surgery (coronary artery bypass graft, or CABG). Aleve may also cause stomach or intestinal bleeding, which can be fatal.","Use Aleve exactly as directed on the label, or as prescribed by your doctor. Do not take this medicine in larger amounts or for longer than recommended. Use the lowest dose that is effective in treating your condition.","signs of an allergic reaction to Aleve: sneezing, runny or stuffy nose; wheezing or trouble breathing; hives; swelling of your face, lips, tongue, or throat and signs of a heart attack or stroke: chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, feeling short of breath.","Since Aleve is sometimes used only when needed, you may not be on a dosing schedule. If you are on a schedule, use the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not use extra medicine to make up the missed dose."
28,Alfuzosin,"used to treat the signs and symptoms of benign enlargement of the prostate (benign prostatic hyperplasia or BPH)","Alfuzosin is an alpha-adrenergic (AL-fa ad-ren-ER-Jk) blocker that is used to improve urination in men with benign prostatic hyperplasia (enlarged prostate). Alfuzosin may also be used for purposes not listed in this medication guide.","You should not take alfuzosin if you have moderate to severe liver disease. Many drugs can affect alfuzosin, and some should not be used at the same time. Tell your doctor about all your current medicines and any you start or stop using.","Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed. Take alfuzosin just after a meal, at the same time each day. Do not take the medicine on an empty stomach. Swallow the tablet whole and do not crush, chew, or break it.","signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat. a light-headed feeling, like you might pass out, new or worsening chest pain, upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes)","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
29,Allegra,"used to treat the symptoms of seasonal allergies (hay fever) in adults and childre","Allegra (fexofenadine) is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Allegra is also used to treat skin itching and hives caused by a condition called chronic idiopathic urticaria in adults and children.","Ask a doctor or pharmacist before taking Allegra if you are allergic to any drugs, or if you have kidney disease. Do not take Allegra with fruit juice (such as apple, orange, or grapefruit). Stop using Allegra and get emergency medical help if you think you have used too much medicine.","Take the regular tablet with a full glass of water. Do not use any other type of liquid. Shake the oral suspension (liquid) well just before you measure a dose. To be sure you get the correct dose, measure the liquid with a marked measuring spoon or medicine cup, not with a regular table spoon. If you do not have a dose-measuring device, ask your pharmacist for one.","signs of an allergic reaction to Allegra: hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop taking Allegra and call your doctor if you have fever, chills, body aches, cough, or other flu symptoms.","Since cold or allergy medicine is taken as needed, you may not be on a dosing schedule. If you are taking the medication regularly, take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose."
